textID,text,selected_text,sentiment,lemma
dc1a12e5bb,hahaha  is SUCH nonsense,nonsense,negative,hahaha   be SUCH nonsense
dfcdcead66,"Ugh, my internet was down!",down!,negative,"ugh , -PRON- internet be down !"
153d758204,I want to hang out and play!  But I can`t.  Fiddle Faddle on my workload!,But I can`t.,negative,-PRON- want to hang out and play !   but -PRON- can`t .   Fiddle Faddle on -PRON- workload !
babd1acf78," I want too soo bad, I hate missing GUMBO, but I have a shoot tommorrow that I have to be at for 8:30.  So No GUMBO for me....","I want too soo bad, I hate missing GUMBO, but I have a shoot tommorrow that I have to be at for 8:30.  So No GUMBO for me....",negative,"  -PRON- want too soo bad , -PRON- hate miss GUMBO , but -PRON- have a shoot tommorrow that -PRON- have to be at for 8:30 .   so no gumbo for -PRON- ...."
8e47a9cfd0,I need a new iPhone case but I am broke.,broke.,negative,-PRON- need a new iPhone case but -PRON- be broke .
e2bfbc6eda, heyyy you ALWAYS look nice  wanna come to my friend`s party? its june 8th long weekend in sydney,you ALWAYS look nice,positive,  heyyy -PRON- ALWAYS look nice   wanna come to -PRON- friend`s party ? -PRON- june 8th long weekend in sydney
5d9cfb8160,"Just got woken up by my mom... Our ENTIRE first floor is flooded. All our furniture, curtains, moms expensive rugs.... Soaked and ruined",ruined,negative,"just get wake up by -PRON- mom ... -PRON- ENTIRE first floor be flood . all -PRON- furniture , curtain , mom expensive rug .... soak and ruin"
caa8d94c9a,"i feel really sick, and my teeth still hurt.  fml.","i feel really sick, and my teeth still hurt.  fml.",negative,"i feel really sick , and -PRON- tooth still hurt .   fml ."
ea76e52729,eye still hurts  I Think I`ll go sleep now...,hurts,negative,eye still hurt   -PRON- think I`ll go sleep now ...
aee35b84d6,Listening to have heart. Aka i took over carlys last.fm      its 4am need to be up in 4 hours.  Looooong day tomorrow,urs.  Looooong day tomo,negative,listen to have heart . aka i take over carlys last.fm       -PRON- 4 a.m. need to be up in 4 hour .   Looooong day tomorrow
73763a0259, he was always a bit smug as a whistle-blower. The 9-11 denial stuff is pretty spectacular too,pretty spectacular,positive,  -PRON- be always a bit smug as a whistle - blower . the 9 - 11 denial stuff be pretty spectacular too
1ef4f2723c," belay the swimsuit, hot tub won`t be ready this weekend.  sadness",sadness,negative,"  belay the swimsuit , hot tub won`t be ready this weekend .   sadness"
e55d018041,I think I killed my 6-mo old bromeliad. need a new pet plant.. or not.,killed,negative,-PRON- think -PRON- kill -PRON- 6-mo old bromeliad . need a new pet plant .. or not .
50b9225337,I`m so sorry Drace  this sucks so bad,this sucks so bad,negative,i`m so sorry Drace   this suck so bad
87377bbb13, I also have a brain tumor called Jeffery.,I also have a brain tumor,negative,  -PRON- also have a brain tumor call Jeffery .
d249345c07,not ideal bank holiday conditions.. a little over cast and rainy but perfect for a lazy day with a dvd,lazy,negative,not ideal bank holiday condition .. a little over cast and rainy but perfect for a lazy day with a dvd
d8d909d391, bad times?,bad times?,negative,  bad time ?
50b71d01cb,Cheifs beat the `Canes 16-8! Top of the table! Wooo! ...and up go the Sky Sport Virtual Rugby points.,Top of the table!,positive,cheifs beat the ` Canes 16 - 8 ! top of the table ! Wooo ! ... and up go the Sky Sport Virtual Rugby point .
dca698f0d9, We wasnt invited to yall get togethers either! Then  and  was playin security and told us to be quiet!!,We wasnt invited to yall get togethers either! Then  and  was playin security and told us to be quiet!!,negative,  -PRON- be not invite to -PRON- all get together either ! then   and   be playin security and tell -PRON- to be quiet ! !
d3d7fee71f,_Kel_17 ehh carnt stand hot weather,carnt stand hot weather,negative,_ Kel_17 ehh carnt stand hot weather
c2aa7cb2d6,Can`t beat all time low.. (: I soooooo want to go to Metro Station..  Your cheap shots wont be able to break bones,Can`t beat,negative,can`t beat all time low .. (: -PRON- soooooo want to go to Metro Station ..   -PRON- cheap shot will not be able to break bone
9b41b64443,"_dog Lucky you! it`s drizzling again. Mommy says the puddles are big enough 4 me to swim in, so no dog park today..",Lucky you!,positive,"_ dog Lucky -PRON- ! it`s drizzle again . Mommy say the puddle be big enough 4 -PRON- to swim in , so no dog park today .."
5b53837574, they really do. it is a crying shame.,it is a crying shame.,negative,  -PRON- really do . -PRON- be a cry shame .
ad4f60c210,http://twitpic.com/66vld - i don`t like this bangs! I want my hair back!,i don`t like this bangs! I want my hair back!,negative,http://twitpic.com/66vld - i don`t like this bang ! -PRON- want -PRON- hair back !
0cb8a82f7e, Murphy`s Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x,?  Sorry that your computer is not cooperating,negative,  murphy`s Law ?   sorry that -PRON- computer be not cooperate when -PRON- have lot of work . -PRON- kid be .. http://tinyurl.com/km235x
5affab3088,"stomach cramps; sat in bed with a hot water bottle having some hot milk & toast, i feel like a wi girl again :`) minus the stomach cramps",cramps;,negative,"stomach cramp ; sit in bed with a hot water bottle have some hot milk & toast , i feel like a wi girl again : ` ) minus the stomach cramp"
97ee3fb552,I wonder why thumbnail pictures aren`t showing up on my TweetDeck?,wonder,negative,-PRON- wonder why thumbnail picture aren`t show up on -PRON- TweetDeck ?
d59338da8c,cant sleep  so tired! goodnight... maybe :/,so tired!,negative,can not sleep   so tired ! goodnight ... maybe :/
bce44bef7b, Has to be a Mac! Believe me - you won`t regret it,Has to be a Mac! Believe me - you won`t regret it,positive,  have to be a Mac ! believe -PRON- - -PRON- won`t regret -PRON-
1f633af295, Maatt Havent spoken to you in ages dudeee  Dont forget bout ur Aussie fan  ;) lool. Love ya ****,l. Love,positive,  Maatt have not speak to -PRON- in age dudeee   do not forget bout ur Aussie fan   ;) lool . love ya * * * *
5f2d9ebebc,"is suffering from hayfever, is drowsy from too much Piriton, and is heading to bed with the air purifier on","is suffering from hayfever, is drowsy from too much Piriton,",negative,"be suffer from hayfever , be drowsy from too much Piriton , and be head to bed with the air purifier on"
6c91a97b8a, wow that was easy! Thank you,wow,positive,  wow that be easy ! thank -PRON-
f57e9df1f3, tell him ill beat him up if he doesnt share,beat,negative,  tell -PRON- ill beat -PRON- up if -PRON- do not share
412f356f5c,just woke up. Happy Mommy`s Day to everyone`s mom and grandma!,Happy Mommy`s Day,positive,just wake up . happy mommy`s day to everyone`s mom and grandma !
01429d15e9,Just getting back into the swing...Still sore from my surgery  and tired...Coffee time!,Still sore from my surgery  and tired.,negative,just get back into the swing ... still sore from -PRON- surgery   and tired ... coffee time !
76028b4d9f, Hope that migraine doesn`t stick around for too long.,Hope that migraine doesn`t stick around for too long.,positive,  hope that migraine doesn`t stick around for too long .
fa596e769c,I am finally plugged in to listen to Flashpoints on http//:www.kpfa.org shoutout  and have missed the segment about Chevron,missed,negative,-PRON- be finally plug in to listen to flashpoint on http//:www.kpfa.org shoutout   and have miss the segment about Chevron
2ffa136acd,_cunning I gotta go to my cousin`s grad party,grad party,positive,_ cunne -PRON- get to go to -PRON- cousin`s grad party
0b0e732b60,good morning. have to get ready to go to the hospital and get a cat scan. best wishes to you.,good morning. have to get ready to go to the hospital and get a cat scan. best wishes to you.,positive,good morning . have to get ready to go to the hospital and get a cat scan . good wish to -PRON- .
c036fc3918,This weekend I started a 'Healthy Lifeestyle' - not Diet!     Let`s see how it goes - will keep ya posted on my progress.,Healthy,positive,this weekend -PRON- start a ' Healthy Lifeestyle ' - not Diet !      Let`s see how -PRON- go - will keep ya post on -PRON- progress .
22e36e416b," - I`m alright thanks pal, just bored witless, bored to hell, really wanna` go out somewhere!","- I`m alright thanks pal, just bored witless, bored to hell, really wanna` go out somewhere!",negative,"  - I`m alright thank pal , just bored witless , bored to hell , really wanna ` go out somewhere !"
19929fe6c1,FOOOOOD  yummy so. whose washing the dishes now ? NOT ME ! not i ..    rofl,yummy,positive,foooood   yummy so . whose wash the dish now ? not me ! not i ..     rofl
f9622bf234, IDK....I`m trapped at work all day,.I`m trapped at work,negative,  IDK .... I`m trap at work all day
dddcacea37,Just had some delicious sushi from niko niko on vermont and hollywood  mm,delicious,positive,just have some delicious sushi from niko niko on vermont and hollywood   mm
445bb2c048,Morning twitts heading home  had a great sleep over w. my bf Tennille!,great,positive,morning twitt head home   have a great sleep over w. -PRON- bf Tennille !
6936f52eb1,"Done Jack in the Green today, it was good, a killer walking up the West Hill though! Listening to Will and the People","good,",positive,"do Jack in the Green today , -PRON- be good , a killer walk up the West Hill though ! listen to Will and the People"
4145184473," thanks for that twitpic, sure made me laugh",thanks,positive,"  thank for that twitpic , sure make -PRON- laugh"
1d05b47096, Saw you on SNL with your diploma..Congrats. You must be overjoyed.   Now I am finally going to bed..NITE,overjoyed.,positive,  see -PRON- on SNL with -PRON- diploma .. congrat . -PRON- must be overjoy .    now -PRON- be finally go to bed .. NITE
9992b5a34d,*sigh* I`m going to bed... I just don`t feel right anymore...,I just don`t feel right anymore..,negative,* sigh * I`m go to bed ... -PRON- just don`t feel right anymore ...
1b8a0a7ceb,"And apparently I misplaced my iPod, the 30 gb",misplaced,negative,"and apparently -PRON- misplace -PRON- iPod , the 30 gb"
566e692306, Happy STAR WARS Day,Happy,positive,  happy STAR war Day
1cf20fa6c3,On my way to get the crate and Bella Dolce!!!! Sad cuz  is going tto Richmond,Sad,negative,on -PRON- way to get the crate and Bella Dolce ! ! ! ! sad cuz   be go tto Richmond
8364aae5e9, Ciara was great at SNL..Kim...you were mentioned on SNL tonight..Justin T was really good also,great,positive,  Ciara be great at SNL .. Kim ... -PRON- be mention on SNL tonight .. Justin T be really good also
546afe7ef5,Brooklyn!!! We went hard!!! Now back up top!! But 1st Hajji`s...yea again  http://tinyurl.com/codla7 http://ti.. http://tinyurl.com/cr8hjs,hard!!,negative,Brooklyn ! ! ! -PRON- go hard ! ! ! now back up top ! ! but 1st hajji`s ... yea again   http://tinyurl.com/codla7 http://ti .. http://tinyurl.com/cr8hjs
2f0a757f0b,Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry I`ll do the work tops,Got tired,negative,Got tired of the kitchen be uninhabital so sweep and mop the floor when -PRON- dry I`ll do the work top
410b8df2b5,  I doubt it! Boo! You always leave me behind on your awesome roadtrips!,! You always leave me behind,negative,   -PRON- doubt -PRON- ! boo ! -PRON- always leave -PRON- behind on -PRON- awesome roadtrip !
7686240160," OMG, I get the $50 coupon from them all the time, do you?? I`m obsessed with their catalog when it comes in the mail",obsessed,positive,"  OMG , -PRON- get the $ 50 coupon from -PRON- all the time , do -PRON- ? ? I`m obsess with -PRON- catalog when -PRON- come in the mail"
1c501685da,Has that sinking feeling that it`s all about to go **** up.....bracing myself for the comedown,sinking,negative,have that sink feeling that it`s all about to go * * * * up ..... brace -PRON- for the comedown
db0f03aa1f,i hate waking up early! but i need to make up my 27 hrs at my pharmacy class. >=[ sighhh.  in other news: breakfast time!!!!,i hate waking up early!,negative,i hate wake up early ! but i need to make up -PRON- 27 hr at -PRON- pharmacy class . > = [ sighhh .   in other news : breakfast time ! ! ! !
3373353ca6,is about to make a nice cup of tea and pop some benadryl...long day...stay positive twitterbugs...goodnight!,.stay positive twitterbugs...goodnight!,positive,be about to make a nice cup of tea and pop some benadryl ... long day ... stay positive twitterbug ... goodnight !
85d6f19317,No one loves me  Brittany forgot my flowers...,No one loves me  Brittany forgot my flowers...,negative,no one love -PRON-   Brittany forget -PRON- flower ...
16f737bd6c,CONGRATS !! I just KNEW a princess would win!!!   #sigjeans,CONGRATS,positive,CONGRATS ! ! -PRON- just know a princess would win ! ! !    # sigjeans
83492df3af, no decleration yet but crazy **** Koreans aren`t playing nice anymore  what do u thinks next? I`m thinking war,crazy **** Koreans aren`t playing nice anymore,negative,  no decleration yet but crazy * * * * Koreans aren`t play nice anymore   what do u think next ? i`m think war
9ad6823e0f,wishing you all a happy monday and a wonderful start to this week ! Make it a good one,wishing you all a happy monday,positive,wish -PRON- all a happy monday and a wonderful start to this week ! make -PRON- a good one
1024862c1f,Still not asleep. Ahhh  Wtf?!,Wtf?,negative,still not asleep . ahhh   Wtf ? !
b154644954,Ohhhhh Barcalona. Please dont ruin this  #bgt,Please dont ruin this,positive,Ohhhhh Barcalona . please do not ruin this   # bgt
e100d2b58e,Aw one of our fishies died,died,negative,aw one of -PRON- fishie die
071649bc91,Just found out I can`t drink at this bar! Booo missing e1 at palomino`s! No cheers sad face,No cheers sad face,negative,just find out -PRON- can`t drink at this bar ! Booo miss e1 at palomino`s ! no cheer sad face
a7926a8506,i hate interviews. im going to do horrible today,hate,negative,i hate interview . -PRON- be go to do horrible today
253e8c3bee,Now Im crying....  Poor thing..,Im crying..,negative,now -PRON- be crying ....   poor thing ..
5c994deec4,Photo: I like da cooolooorss and the composition is great  scribkin: http://tumblr.com/xyb1qw8cb,I like da cooolooorss and the composition is great,positive,photo : -PRON- like da cooolooorss and the composition be great   scribkin : http://tumblr.com/xyb1qw8cb
24d4fa8e2b,I wanna roc wit`chu . Imy buu,wanna roc wit`chu,positive,-PRON- wanna roc wit`chu . imy buu
90e9ac439c, That is the sweetest loveliest thing for you to say. You made me smile. Thank you for that.,That is the sweetest loveliest thing for you to say. You made me smile. Thank you for that.,positive,  that be the sweetest lovely thing for -PRON- to say . -PRON- make -PRON- smile . thank -PRON- for that .
b0e83906dc, Good deal! Im doing good thank u   The one about me loving my mom?,Im doing good,positive,  good deal ! -PRON- be do good thank u    the one about -PRON- love -PRON- mom ?
84d6e21c3f, but it`s fun when they blatantly ignore the advice,fun,positive,  but it`s fun when -PRON- blatantly ignore the advice
523020a3cd,so. I`m taking my life guarding classes fri (7-9pm) sat (9-6pm) sun (9-4pm) and mon (3-630pm) live eat and breath life guard stuff. yay.,yay.,positive,so . I`m take -PRON- life guard class fri ( 7 - 9pm ) sit ( 9 - 6pm ) sun ( 9 - 4pm ) and mon ( 3 - 630pm ) live eat and breath life guard stuff . yay .
73aa615134," I wish I was there.I`ve just moved from San Diego to WA and I`m very depressed, I miss sunny San Diegoooooooo!!","I`m very depressed,",negative,"  -PRON- wish -PRON- be there . I`ve just move from San Diego to WA and I`m very depressed , -PRON- miss sunny San Diegoooooooo ! !"
2299622c43,i`m listening butterfly fly away  daddy i lov u mamma i lov ya,lov,positive,i`m listen butterfly fly away   daddy i lov u mamma i lov ya
60212f46b7, a lovely weekend thank you  Whats it like where you live? Exciting im sure  night night ****,lovely,positive,  a lovely weekend thank -PRON-   what s -PRON- like where -PRON- live ? exciting -PRON- be sure   night night * * * *
6f12c6329e, Its goin good takin it easy ths weekend  Im preparing for the big events comin up for me U girls INSPIRE me 2 do great things!!,o great,positive,  -PRON- go good takin -PRON- easy ths weekend   -PRON- be prepare for the big event comin up for -PRON- U girl inspire -PRON- 2 do great thing ! !
c5a3f4ea96, Thanks! Funny cause it`s true!,Thanks!,positive,  thank ! funny cause it`s true !
f72246da6f,"_is_Rad yeah it was **** D: im so tired, i have a headache and now i have to play a game of rygby D: but ill be right  **** <33",headache,negative,"_ is_Rad yeah -PRON- be * * * * d : -PRON- be so tired , i have a headache and now i have to play a game of rygby d : but ill be right   * * * * <33"
4d5bbfeddc, LOL. me too..werd...:p...hubby`s fave driver is Martin so I am happy for him and me!!!,happy,positive,  LOL . -PRON- too .. werd ... :p ... hubby`s fave driver be Martin so -PRON- be happy for -PRON- and -PRON- ! ! !
2dbd548456,"I`m feelin sad, depressed, lonely, unhappy all at once. Rwhats wrong with me","I`m feelin sad, depressed, lonely, unhappy all at once.",negative,"I`m feelin sad , depressed , lonely , unhappy all at once . rwhat wrong with -PRON-"
a44c82eddd, peep this remix from 'The Wu Dynasty' remix tape its delayed but this will give u a idea,delayed,negative,  peep this remix from ' the Wu Dynasty ' remix tape -PRON- delay but this will give u a idea
07c72f9267,"OK, It`s my 1000th Tweet  I`ll use it to simply say 'Thank You!!'. I`ve met some of the most giving/caring people on Twitter!",'Thank You!,positive,"ok , it`s -PRON- 1000th Tweet   I`ll use -PRON- to simply say ' thank -PRON- ! ! ' . I`ve meet some of the most giving / care people on Twitter !"
e1859d533b,I hate not bringing my ipod to school,hate no,negative,-PRON- hate not bring -PRON- ipod to school
8d4272e7f3, Fab new pic by the way,Fab new pic by the way,positive,  fab new pic by the way
525ee51b92,been in bed for two days with migraines,been in bed for two days with migraines,negative,be in bed for two day with migraine
d558b468a3,I`m at work!!!! Ugghhhhh someone save me now,save,positive,i`m at work ! ! ! ! Ugghhhhh someone save -PRON- now
5a8a037059,"Poor Greg  stupid UK, always doing the sympathy vote. xo",Poor Greg,negative,"Poor Greg   stupid UK , always do the sympathy vote . xo"
05bf47e142,I had fries and an ariZona at 1130 and that`s the only thing I ate today.  feeeeeed meeeeee,only thing I ate today.,negative,-PRON- have fry and an ariZona at 1130 and that`s the only thing -PRON- eat today .   feeeeeed meeeeee
196d638b83,"Up and around a little earlier than I wanted to be (phone rang 5:30 AM).  Exercise is a good way to start the day, right?",good,positive,"up and around a little earlier than -PRON- want to be ( phone rang 5:30 am ) .   exercise be a good way to start the day , right ?"
abab4e5f84, hey there.  How are you. Pleasant surprise,. Pleasant surprise,positive,  hey there .   how be -PRON- . pleasant surprise
1fd6118e78,i`m worried because something bad happened today and i don`t know what`s gonna happen next.,i`m worried,negative,i`m worry because something bad happen today and i don`t know what`s go to happen next .
e07e4d41a3,We are having a day `at home` today - which is proving to be rather lovely,We are having a day `at home` today - which is proving to be rather lovely,positive,-PRON- be have a day ` at home ` today - which be prove to be rather lovely
fa0daf343f,"please do not let me get obsessed, whatever or whoever is in charge of my actions  you`ve been doing such a bad job lately",bad,negative,"please do not let -PRON- get obsess , whatever or whoever be in charge of -PRON- action   you`ve be do such a bad job lately"
16833614e5,just got the dreaded call from babysitter - little H has bumped her head  Sitter says she`s fine and goose egg is going down fast,dreaded call,negative,just got the dreaded call from babysitter - little H have bump -PRON- head   Sitter say she` fine and goose egg be go down fast
d6e176f5fa, heyy i finally got one too  oh and good luck on your finals today,nd good luck,positive,  heyy i finally get one too   oh and good luck on -PRON- final today
f53ae68259,_rabbit_ I have been begining to think you are showing signs of becoming a sped haha  Love ya!,Love,positive,_ rabbit _ -PRON- have be begin to think -PRON- be show sign of become a speed haha   love ya !
700308412c,Happy Mother`s Day to all the mothers out there! Goodnight to everyone else,Happy,positive,happy mother`s day to all the mother out there ! goodnight to everyone else
8c0359a580,"Ugh,what a boring day","Ugh,what a boring day",negative,"ugh , what a boring day"
766edb2b9f, http://twitpic.com/2zemt - aww *-* she has very cute smile,cute,positive,  http://twitpic.com/2zemt - aww * - * -PRON- have very cute smile
9023707f7f,"Watching the Broncos vs Chiefs 1994, Montana vs Elway on NFL Network.  I still have nightmares about this game   FU KC!",I still have nightmares about this game   FU KC,negative,"watch the Broncos vs Chiefs 1994 , Montana vs Elway on NFL Network .   -PRON- still have nightmare about this game    FU KC !"
3b96fc62ad,I just want this semester to be over! Only a week and a half then it`s moving time!,to be over!,negative,-PRON- just want this semester to be over ! only a week and a half then it`s move time !
c2a4c6c3f2,_Gable It`s good isn`****! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,It`s good isn`****! Ou,positive,_ gable it`s good isn ` * * * * ! -PRON- holiday chalet be out of sight but look v similar to those one . go home again today
a646f17dcd, im sure she`ll love em  how was work? x,love em,positive,  -PRON- be sure she`ll love -PRON-   how be work ? x
71e80290b3,_Foster Still not working,Still not working,negative,_ Foster still not work
5caef4175a,Why can`t i find any jewellry for my dressssss?,Why can`t i find,negative,why can`t i find any jewellry for -PRON- dressssss ?
945e466b80," I`m trying my dang hardest to not watch the movie again until I finish the book, again.","I`m trying my dang hardest to not watch the movie again until I finish the book, again.",negative,"  i`m try -PRON- dang hardest to not watch the movie again until -PRON- finish the book , again ."
d5ac334daa, Awww mate. that`s such a shitter,Awww mate. that`s such a shitter,negative,  Awww mate . that`s such a shitter
b02f4018dc,Nt able to follow anyone  friendorfollow.com here i come!!! #itsucks,#itsucks,negative,Nt able to follow anyone   friendorfollow.com here i come ! ! ! # itsuck
d17a54ddaf, Hugs to hubby! I`ll probably be in the same place come the 1st of September.,Hugs,positive,  hug to hubby ! I`ll probably be in the same place come the 1st of September .
8020b8fbe7,_casagrande haha thanks. but if it keeps raining i might not go,haha thanks.,positive,_ casagrande haha thank . but if -PRON- keep rain i may not go
26f6672d1c, NICE I must see this,NICE,positive,  NICE -PRON- must see this
7e4deab70f,Check out my song 'time to lose it' on www.myspace.com/flownyce you`ll enjoy it I promise,you`ll enjoy it I promise,positive,check out -PRON- song ' time to lose -PRON- ' on www.myspace.com/flownyce you`ll enjoy -PRON- -PRON- promise
12f21c8f19, star wars ............ is **** BOO??? i wanna do your job HAND IT OVER  u can act as me at my high school   LOL,l,positive,  star war ............ be * * * * BOO ? ? ? i wanna do -PRON- job hand it over   u can act as -PRON- at -PRON- high school    LOL
b61a1eab3d," Dinner done, shower done, now time to chill with block of chocolate",chill,positive,"  dinner do , shower do , now time to chill with block of chocolate"
ee6fa1200b,victory for the bulldogs was celebrated by 3 white chocolate cheesecakes  nom nom nom WHATTA FATTYYY,WHATTA FATTYYY,negative,victory for the bulldog be celebrate by 3 white chocolate cheesecake   nom nom nom WHATTA FATTYYY
bd77c9d757,Back to work.  Extremely slow now that start up`s over.,slow,negative,back to work .   extremely slow now that start up`s over .
2d8a1632cd,I miss my boys,miss,negative,-PRON- miss -PRON- boy
e10a39f504,learn to fly higher...!  http://tinyurl.com/30tools,learn to fly higher...!,positive,learn to fly higher ... !   http://tinyurl.com/30tool
d9a9c8f8e9,last day of school  so sad,last day of school  so sad,negative,last day of school   so sad
0897770e1d," Thanks, Enjoy your dinner tomorrow","Thanks,",positive,"  thank , enjoy -PRON- dinner tomorrow"
44087babad,"Double rainbow above the Organs. Pretty, but doesn`t take the edge off my $460 grocery tab.","Pretty,",positive,"double rainbow above the Organs . pretty , but doesn`t take the edge off -PRON- $ 460 grocery tab ."
2780126312, and all chevre: please follow me at  for chevre only   I`m using  for public tweeting!  Thanks!,ing!  Th,positive,  and all chevre : please follow -PRON- at   for chevre only    i`m use   for public tweeting !   thank !
9eab958c17,Mama? you`re the best thing that ever happen to me. thanks for everything  & and sorry for hurting you... I LOVE YOU!  <3,LOVE,positive,Mama ? you`re the good thing that ever happen to -PRON- . thank for everything   & and sorry for hurt -PRON- ... -PRON- love you !   <3
302399f53c, thanks for agreeing with me,thanks,positive,  thank for agree with -PRON-
e24c3305b9,Thundershowers plus baseball equals awwww,awwww,positive,thundershower plus baseball equal awwww
820ab32b34,i get a message that my account is suspended as far as i know i haven`t violated any terms contacting twitter now..,suspended as,negative,i get a message that -PRON- account be suspend as far as i know i haven`t violate any term contact twitt now ..
9f6a33f460,Today`s ABA has been full of emotional tears  #ASD #autism some days are harder than others.  Its hard to not intervene  poor baby,some days are harder than others.,negative,today`s ABA have be full of emotional tear   # ASD # autism some day be hard than other .   -PRON- hard to not intervene   poor baby
8a39245e7a, Mind telling me which book  cuz i was at barnes and nobles today and found 2 books that looked promising,d found 2 books that looked promising,positive,  mind tell -PRON- which book   cuz i be at barne and noble today and find 2 book that look promising
57ee2b83db,Im sad right now becuz of my lady,sad,negative,-PRON- be sad right now becuz of -PRON- lady
211b3ce6da,"cannot go, cannot refused to feel the pain",cannot refused to feel the pain,negative,"can not go , can not refuse to feel the pain"
f579b98e1d,So drunk!  Love u guys!,Love,positive,so drunk !   love u guy !
fdab5bcb3a, Thanks for the follow back,Thanks,positive,  thank for the follow back
d053fd5269,"Soo tired, couldn`t get enough sleep","Soo tired,",negative,"Soo tired , couldn`t get enough sleep"
55127eb379,Everyone MUST watch this...it`s Snowball the dancing bird & he will make your day...I promise!  http://tinyurl.com/37wt5f,he will make your day..,positive,everyone MUST watch this ... it`s Snowball the dancing bird & -PRON- will make -PRON- day ... -PRON- promise !   http://tinyurl.com/37wt5f
e538779c55,  Sorry to hear that.,Sorry to hear that,negative,   sorry to hear that .
251f00e386,"Have to leave to meet  now. I`m looking forward to seeing him, but I`m so not done what I wanted to. Boo-urns. Wish I was @ work.",I`m so not done,negative,"have to leave to meet   now . i`m look forward to see -PRON- , but i`m so not do what -PRON- want to . Boo - urn . Wish -PRON- be @ work ."
f97d20c990,"http://twitpic.com/61ov1 -   i ahte stress, its supposed to be friday! it makes me wanna cry",! it makes me wanna cry,negative,"http://twitpic.com/61ov1 -    i ahte stress , -PRON- suppose to be friday ! -PRON- make -PRON- wanna cry"
f9ba6a4487,back from the yoga retreat. I recommend this to everyone,I recommend this to everyone,positive,back from the yoga retreat . -PRON- recommend this to everyone
9bcd32d254, It`s depressing I`m stuck inside all day,It`s depressing I`m stuck inside all day,negative,  it`s depress I`m stick inside all day
53afaef8f1,",.. oh the Mint Lounge ...AWESOME night",AWESOME,positive,", .. oh the Mint Lounge ... awesome night"
5e3ba74f5f,"_w_a cool, looking forward to it now",looking forward,positive,"_ w_a cool , look forward to -PRON- now"
c5b7e4320f, Sorry I can not reach either URL,Sorry I can not reach either URL,negative,  sorry -PRON- can not reach either url
35b70a2a83, So sorry to hear your terrible news   Thinking of you all x,So sorry to hear your terrible news,negative,  so sorry to hear -PRON- terrible news    think of -PRON- all x
b15c4f6298, He`s totally ignoring me!! How sad!  I am heartbroken,How sad!  I am heartbroken,negative,  He`s totally ignore -PRON- ! ! how sad !   -PRON- be heartbroken
70ce550971,kewl the JB chat was awesome. I had to miss lots of it though cause i had 2 go 2 skewl,awesome.,positive,kewl the JB chat be awesome . -PRON- have to miss lot of -PRON- though cause i have 2 go 2 skewl
2a0af521de, gasp!!! I love it!!! Thank you so much for sharing Tim!!,I love it!!!,positive,  gasp ! ! ! -PRON- love -PRON- ! ! ! thank -PRON- so much for share Tim ! !
51f98e5b08,up and at work im ina good mood,good,positive,up and at work -PRON- be ina good mood
0f0304d4ca,It`s so sad  http://bit.ly/b8jTH  I love Kelly! <3,It`s so sad,negative,it`s so sad   http://bit.ly/b8jTH   -PRON- love Kelly ! <3
7c19923323, Congrats on the Invisalign! I need to get refitted for mine - I got lazy and stopped wearing them.,I got lazy and stopped,negative,  congrat on the Invisalign ! -PRON- need to get refit for mine - -PRON- get lazy and stop wear -PRON- .
04009702b4,"watched prison break special, such a sad ending",such a sad ending,negative,"watch prison break special , such a sad ending"
b5cee6e073,_eleni I love you too!,love,positive,_ eleni -PRON- love -PRON- too !
5b5c03a5f0, have you read Angels & Demons? What do you think of it if you have? oh and beautiful sunny weather here in Provence.,? oh and beautiful sunny,positive,  have -PRON- read Angels & Demons ? what do -PRON- think of -PRON- if -PRON- have ? oh and beautiful sunny weather here in Provence .
a01b1e199e, But I hate being me,hate,negative,  but -PRON- hate be -PRON-
32664c1ccf, good morning fella   i have the joy of work to do today.  what are your plans?,good morning fella   i have the joy of work to do toda,positive,  good morning fella    i have the joy of work to do today .   what be -PRON- plan ?
e0ba9be097, yup slowly recovering. it sucks that i can`t eat the stuff i`m craving right now. my gums can`t take it. how was your trip?,it sucks,negative,  yup slowly recover . -PRON- suck that i can`t eat the stuff i`m crave right now . -PRON- gum can`t take -PRON- . how be -PRON- trip ?
58d6f9f5c5," I tried registering on the website. No go, I get an error with all 4 browsers. Firefox, chrome, ie, safari.",error,negative,"  -PRON- try register on the website . no go , -PRON- get an error with all 4 browser . Firefox , chrome , ie , safari ."
6fbff71c0c," Oh, wow, you`re fast   How`s life going ? It`s been 6 months ya ? XD","Oh, wow, you`re fast",positive,"  oh , wow , you`re fast    how`s life go ? it`s be 6 month ya ? XD"
e65b9b363a,now feels like a dork for using the wrong Ping group,like a dork fo,negative,now feel like a dork for use the wrong Ping group
d7ee4047b7, wishing you were here too babe.. we`d have a ball,wishing,positive,  wish -PRON- be here too babe .. we`d have a ball
f93fdd38f0,"  thanks for the r/t, I was hoping I had some *classy* followers",thanks,positive,"   thank for the r / t , -PRON- be hope -PRON- have some * classy * follower"
95dc9926b8,   Oh Duh....I see that now .....thank you....,...than,positive,    oh duh .... -PRON- see that now ..... thank -PRON- ....
